,Source,Target,Weight
175,pan,lighting,1
176,riding,are,315
177,have,considering,1
178,dumped,has,1
179,are,watches,3
180,given,sing,1
181,skin,nails,1
182,falling,struggling,1
183,canned,dog,1
184,whale,stuffed,3
185,pole,beating,1
186,dirt,watching,1
187,sings,plays,51
188,prepares,'s,1
189,facing,be,1
190,struggling,remove,1
191,driving,seems,1
192,boy,fallan,1
193,cooking,marinated,1
194,grinds,opens,1
195,play,Marching,1
196,containing,putting,4
197,playing,sticks,1
198,is,balancing,11
199,center,pink,1
200,walks,boy,5
201,are,prepare,2
202,kamaboko,separates,2
203,iced,cake,1
204,runs,throws,3
205,sweeping,playing,1
206,egg,hitting,1
207,oven,prepared,2
208,stands,watching,1
209,backwards,somersault,2
210,made,knife,1
211,ball,i,1
212,fallen,stepped,4
213,poking,sniffing,1
214,pasta,adding,7
215,runs,bicycle,2
216,Looking,get,1
217,curry,bread,1
218,pan,flipped,2
219,hold,pressed,1
220,girl,taps,1
221,box,pops,10
222,ball,does,7
223,were,do,1
224,screw,drivers,1
225,screw,plank,1
226,chop,cutting,5
227,exchanging,are,2
228,stabs,target,3
229,like,added,1
230,Demonstrating,cake,1
231,guys,boxing,3
232,trying,hurt,1
233,taking,displayed,1
234,cook,'s,1
235,make,sprinkiling,1
236,grating,stew,1
237,scene,amazing,1
238,wheel,jumps,2
239,funny,think,1
240,handling,frog,1
241,is,smoke,8
242,supposed,chirps,1
243,beating,baby,2
244,blown,getting,1
245,pepperoni,slice,7
246,IS,PREPARING,12
247,make,shows,20
248,couch,laying,4
249,jumps,comes,2
250,hops,horse,2
251,helping,scratch,1
252,piece,carries,1
253,tapping,lying,1
254,preying,boy,2
255,tidying,right,1
256,bears,panda,11
257,recipe,spices,1
258,drops,boat,1
259,kitten,sleepy,1
260,molds,wrap,1
261,meat,bite,2
262,child,fold,2
263,get,appreciate,1
264,walks,pushing,1
265,fast,cut,1
266,skin,slits,1
267,cut,demo,2
268,flipped,sitting,2
269,are,karate,29
270,pulls,pepperoni,1
271,singing,tuning,1
272,dry,are,3
273,attempts,turns,1
274,wiping,like,1
275,fighting,kittens,1
276,are,sliding,13
277,sand,falling,5
278,places,unpeeled,1
279,slicing,chicken,28
280,doing,enjoying,2
281,guitar,song,44
282,wheels,are,2
283,are,sipping,1
284,¿,looks,4
285,enjoys,forced,1
286,bends,watering,1
287,simmering,wine,1
288,BY,IS,17
289,counting,is,3
290,girl,knife,12
291,rescueit,trying,2
292,created,appears,1
293,is,fallen,13
294,naked,sitting,1
295,runs,touching,1
296,slides,falls,3
297,spread,cheeks,1
298,standing,amidst,1
299,dog,checked,1
300,doing,wearing,1
301,eggs,hard,8
302,chops,frying,1
303,putting,dry,2
304,'s,scratched,5
305,cute,look,1
306,girl,drummed,2
307,poodle,slices,1
308,was,bed,2
309,animal,hopping,4
310,get,bottle,1
311,is,harvesting,3
312,boiling,cooks,1
313,covering,shrimp,1
314,hammer,hammer,4
315,ping,pants,1
316,strips,pan,4
317,stick,stirring,6
318,scares,sneezing,2
319,moves,writing,1
320,measuring,sauce,1
321,top,pours,1
322,measured,'s,2
323,sun,rose,2
324,take,be,2
325,wearing,asking,2
326,walking,examining,1
327,land,chasing,1
328,right,hammer,1
329,treading,dropping,1
330,panda,look,1
331,boiled,cook,1
332,placing,potato,2
333,ball,hits,28
334,¿,girl,1
335,peddling,girl,1
336,fall,singing,1
337,falls,body,4
338,battered,adds,1
339,rotating,swinging,1
340,blocked,entering,1
341,girl,friend,7
342,performing,master,2
343,do,mouth,1
344,chili,measuring,4
345,ankle,measures,2
346,containing,girl,1
347,swimming,tries,1
348,cup,figure,1
349,climbed,inorder,1
350,boy,sang,5
351,is,accompanied,1
352,containing,walks,1
353,longways,open,1
354,approaches,animal,1
355,dough,foured,1
356,cleaning,meat,2
357,lazy,making,1
358,talked,headset,2
359,go,sleep,1
360,smile,smiling,1
361,lightening,stricking,1
362,score,playing,2
363,shrimp,apply,1
364,added,simmering,1
365,puts,stick,11
366,balls,are,10
367,smiling,is,65
368,dash,using,1
369,pets,¿,1
370,did,comforted,1
371,toasts,crumbs,1
372,moves,pile,1
373,girl,addicting,1
374,bowl,head,2
375,go,crashes,1
376,i,splaying,1
377,splitting,girl,1
378,want,'s,1
379,scrapes,peeled,1
380,has,pizza,1
381,legs,keeping,1
382,figures,box,1
383,prepares,bread,2
384,seasoning,adds,5
385,chili,prepared,1
386,interviewed,park,1
387,mans,cut,2
388,asks,playing,1
389,girl,featuring,3
390,has,mixing,1
391,knife,wiht,1
392,backwards,dog,4
393,run,roof,1
394,cool,»,1
395,struggling,walking,1
396,video,crashes,1
397,playing,bespectacled,1
398,cooking,demonstrate,1
399,baby,are,66
400,mouth,hold,1
401,box,examining,1
402,bowls,is,6
403,child,guitar,29
404,nail,hammering,3
405,diced,pressed,1
406,dog,eats,6
407,screaming,towards,1
408,mouse,dangling,4
409,saluting,girl,5
410,boy,tried,7
411,haveï,girl,1
412,sang,recording,2
413,tying,files,2
414,video,rice,6
415,was,running,1
416,fire,marinated,1
417,be,cooked,6
418,recording,sings,1
419,animated,dancing,13
420,'s,keyboard,1
421,lounging,read,1
422,taking,shooting,4
423,get,playing,1
424,asking,drinking,1
425,toys,knocks,1
426,running,wet,2
427,drive,test,1
428,waiting,horse,1
429,plying,violin,1
430,discussing,giving,1
431,guys,hits,1
432,wakes,lies,1
433,»,'m,1
434,recipe,slime,2
435,dressed,being,1
436,performs,girl,3
437,dribble,is,3
438,girl,egg,8
439,pushing,standing,2
440,gets,dancing,2
441,chops,chicken,7
442,cook,explaining,2
443,Preparing,soup,3
444,cathes,fish,1
445,makes,sand,2
446,diving,dived,3
447,fired,shotgun,2
448,mixing,has,1
449,minced,rolled,1
450,pole,sliding,6
451,shanked,is,1
452,dances,fire,2
453,flour,pan,10
454,bicycle,boy,53
455,rock,climbing,57
456,friend,reading,1
457,side,kicking,2
458,look,chase,1
459,are,kneeling,2
460,lands,hill,1
461,starts,jumps,3
462,muddy,splashes,1
463,performing,loses,1
464,stroking,heads,1
465,scales,scraping,3
466,chews,stuffed,1
467,disturbes,dashes,1
468,lift,are,1
469,teaching,is,74
470,falling,are,12
471,piece,reaches,1
472,is,Blasting,1
473,ham,slices,1
474,animal,face,2
475,scratch,removing,1
476,getting,hit,7
477,is,Lighting,2
478,girl,pits,1
479,looking,seated,2
480,moping,boy,1
481,ice,pandas,1
482,scratching,mouth,1
483,standing,passes,1
484,bits,bowl,1
485,boxing,'s,3
486,eggs,dipped,1
487,dirt,girl,1
488,seasoning,is,188
489,trying,backwards,2
490,block,bits,1
491,have,running,1
492,cook,grilling,1
493,puts,gets,2
494,seen,did,1
495,chased,getting,1
496,WERE,RUNNING,1
497,vacuum,using,5
498,hitchhiking,ignores,1
499,raised,high,3
500,changes,card,2
501,hammer,breaking,6
502,pulling,ground,2
503,ice,push,1
504,took,shower,3
505,slices,seeds,2
506,wet,are,5
507,bundle,emanating,1
508,is,sandwich,14
509,spring,using,2
510,spinning,stove,1
511,paws,lens,1
512,putting,hands,2
513,scaling,fish,9
514,is,stove,68
515,stops,making,1
516,bits,sliced,1
517,using,cleans,1
518,is,scarred,2
519,showing,boy,18
520,shoulder,right,1
521,lays,bed,3
522,adds,flour,4
523,Can,Can,4
524,tidying,is,2
525,poll,electrocuted,2
526,god,walking,1
527,towards,walks,3
528,pizza,reaches,1
529,dancing,roof,11
530,petting,tiger,4
531,face,having,1
532,sauteing,saute,1
533,dive,whale,1
534,face,says,2
535,teaches,dicing,1
536,dance,facing,1
537,inspecting,box,1
538,watches,chops,1
539,wetre,cutting,1
540,walks,clinging,1
541,face,tips,2
542,is,lightening,4
543,cucumber,placed,1
544,is,bucked,1
545,wetting,face,2
546,failed,rotates,1
547,shows,see,1
548,is,sweep,2
549,removes,frying,2
550,vegetables,frying,11
551,dough,makes,4
552,pop,licking,2
553,'s,sticking,1
554,lifts,shows,1
555,beach,opens,1
556,covered,dipped,1
557,help,meet,1
558,cut,cleaned,3
559,doing,boarding,1
560,friend,playing,2
561,paw,get,1
562,butterfly,open,1
563,pins,'s,1
564,opening,'s,3
565,standing,holds,1
566,crushing,chopping,2
567,sliced,salting,1
568,shown,being,9
569,left,added,1
570,be,standing,4
571,head,dancing,3
572,resting,beach,2
573,washing,meat,11
574,herself,act,1
575,snake,play,1
576,hands,horse,1
577,ground,crashed,4
578,sumo,ring,1
579,walked,steps,1
580,color,eyes,1
581,is,runing,9
582,panda,bottom,2
583,riding,lying,1
584,grates,sauce,1
585,starts,eat,1
586,tossed,tries,1
587,runs,kick,4
588,dog,dress,10
589,using,done,1
590,mixing,someting,1
591,fat,smelling,1
592,baby,kangaroo,18
593,rhythmic,moves,1
594,legs,followed,1
595,dressed,singing,5
596,bottom,swimming,1
597,crawls,legs,1
598,lounges,chair,1
599,sitting,stand,1
600,dicing,skills,1
601,is,chisleing,1
602,making,driving,1
603,gets,excretes,1
604,put,ball,5
605,lands,shift,1
606,holding,cub,2
607,animated,bathing,2
608,riding,right,2
609,beach,meet,1
610,jumps,dashes,1
611,driving,doing,5
612,drink,lazy,1
613,running,misses,1
614,remember,see,1
615,spaghetti,eating,50
616,boy,banana,1
617,bicycle,uses,2
618,drives,is,6
619,bread,Make,1
620,hits,hammer,19
621,using,think,1
622,like,sees,1
623,making,lemonade,1
624,fighting,karate,9
625,eat,going,1
626,wedding,reception,2
627,lay,panda,1
628,dog,dribled,1
629,pushes,runs,3
630,fails,skateboarding,1
631,squirming,is,2
632,slice,piece,1
633,shown,girl,2
634,fat,work,1
635,chair,baby,65
636,bespectacled,guitar,1
637,wet,muddy,1
638,Animated,are,3
639,egg,top,1
640,talk,walking,2
641,sake,fish,2
642,dangled,rope,1
643,hammer,be,1
644,tried,stick,2
645,combines,using,1
646,funny,is,49
647,tossing,is,18
648,right,kicking,1
649,taring,dog,1
650,put,theatres.ï,1
651,pasta,mouth,4
652,loris,eating,44
653,alcohol,straight,1
654,are,boarding,3
655,animal,jumping,2
656,was,'ve,2
657,face,doing,8
658,ride,holding,1
659,rubs,shows,1
660,spaghetti,using,1
661,stop,trying,2
662,teach,chicken,1
663,add,spices,1
664,blended,being,3
665,boy,tearing,1
666,eat,fishing,1
667,left,»,2
668,be,bears,1
669,meat,smashes,1
670,holding,doing,4
671,turns,baking,1
672,THE,SITTING,10
673,rolling,demonstrating,1
674,ate,»,1
675,pause,ï,1
676,holds,wearing,2
677,sandwich,recipe,5
678,side,cutting,1
679,bed,biting,2
680,baby,cub,1
681,checked,driven,1
682,shot,holes,2
683,cries,shot,3
684,left,hits,1
685,snake,skinning,2
686,river,running,1
687,girl,gets,9
688,boy,sleepy,1
689,girl,filing,2
690,shat,is,1
691,baked,peeling,1
692,setting,keep,1
693,hard,raw,3
694,making,dough,19
695,prepare,trying,3
696,ice,steps,1
697,cool,pan,1
698,jump,get,1
699,i,play,3
700,fired,rear,1
701,egg,placing,2
702,pats,s,1
703,sprinkling,chicken,5
704,takes,riding,3
705,chop,beating,1
706,jumps,grill,2
707,carrot,parsley,1
708,mouth,pole,1
709,exercising,place,3
710,making,experienced,1
711,grab,tries,3
712,kitten,like,4
713,settling,looks,1
714,emanates,smoke,1
715,recipe,pizza,2
716,make,bought,1
717,was,wine,1
718,beside,speeding,1
719,walking,flashes,1
720,shitting,'s,1
721,like,makes,2
722,performs,jumps,2
723,crazy,driving,2
724,girl,hold,3
725,snake,gutted,1
726,crawling,is,102
727,broccoli,cool,2
728,box,eats,3
729,amazing,shot,4
730,dress,pampered,1
731,kicking,are,21
732,are,eggs,14
733,baby,gaming,1
734,backing,pushes,1
735,'s,body,10
736,is,dumping,20
737,dog,tormenting,1
738,walking,laden,1
739,make,placed,1
740,climbs,animal,2
741,peeled,stuffing,1
742,followed,baby,3
743,ball,seaweed,7
744,play,trained,1
745,»,bn,2
746,ready,boy,2
747,stuck,boiling,1
748,putting,spices,16
749,ground,gaming,1
750,wag,starts,1
751,falled,horse,2
752,legs,elevated,4
753,tricks,dancing,1
754,eating,lined,1
755,burried,head,1
756,cook,cook,2
757,looked,shadow,1
758,want,tell,1
759,acting,target,1
760,bowl,adding,72
761,barbequed,cuts,1
762,hearing,laughing,1
763,¿,logrando,2
764,panda,enjoy,1
765,run,dog,2
766,make,cake,10
767,turned,pan,3
768,chases,string,1
769,side,pole,1
770,clean,rubbing,1
771,LOVE,¿,2
772,pizza,make,8
773,exchanging,moving,1
774,fly,sea,1
775,discarding,leaves,1
776,sign,guys,1
777,holding,'s,20
778,come,steps,1
779,prepared,chicken,2
780,screaming,bending,1
781,think,coking,1
782,like,open,3
783,drinking,driving,1
784,catch,are,12
785,driving,beside,3
786,stick,jumping,7
787,chopping,sawing,5
788,comes,passing,1
789,enjoys,box,1
790,kitten,hides,1
791,fat,pasta,1
792,stuff,throught,1
793,was,liked,1
794,dicing,meat,1
795,controlled,remote,12
796,girl,smokking,1
797,explain,type,1
798,do,decrease,1
799,pile,slicing,1
800,hopping,girl,1
801,bat,beating,1
802,sits,knocks,2
803,put,help,1
804,'s,elevated,2
805,theatres.ï,»,2
806,pushes,ball,1
807,featuring,kitten,1
808,shaves,chopped,1
809,shown,striking,4
810,looking,ground,7
811,cooking,seasoning,1
812,stiring,cake,1
813,Adds,sprinkles,1
814,rolling,meat,4
815,picking,fallen,1
816,dog,was,12
817,dog,pulling,27
818,samples,pizza,1
819,basking,is,1
820,dog,dunk,1
821,sushi,opening,1
822,cucumber,cuts,9
823,hair,twists,2
824,made,shape,1
825,standing,burst,1
826,are,join,2
827,body,skateboarding,1
828,bread,seasons,4
829,Introducing,Cooking,1
830,diana,weird,1
831,wine,is,43
832,making,roll,2
833,grilling,shrimp,1
834,cut,quarters,6
835,narrates,demonstrates,1
836,fat,dirt,1
837,ï,ï,2
838,used,brush,1
839,pancake,pouring,7
840,practising,is,4
841,see,tell,1
842,smoke,see,1
843,'s,bitting,1
844,cooking,cake,2
845,wrapped,crying,1
846,see,are,1
847,getting,making,1
848,dancing,walks,2
849,doesnt,calm,1
850,having,fit,1
851,moosing,kitten,1
852,roasted,top,1
853,is,brought,3
854,melts,pan,6
855,flying,girl,10
856,reaches,pets,2
857,showing,mutton,1
858,use,pole,1
859,tying,shoe,15
860,pouring,drinks,4
861,dress,followed,1
862,pour,knife,1
863,mourning,is,1
864,topping,is,1
865,shoe,'s,1
866,cuts,pink,9
867,'s,cut,5
868,sword,puts,1
869,skate,taking,2
870,get,throw,1
871,scratching,potato,1
872,ground,stuff,1
873,bite,fish,1
874,hammer,hurt,1
875,drinks,shows,1
876,paraded,are,1
877,dug,dirt,3
878,change,tried,2
879,ring,jumps,1
880,styled,getting,1
881,standing,hands,7
882,trying,scratches,1
883,kicks,playing,2
884,talking,sitting,22
885,clean,trying,3
886,cooked,stirs,3
887,egg,peeling,11
888,mouth,came,2
889,are,banana,1
890,clean,poured,1
891,head,stepping,1
892,building,takes,6
893,horse,climbing,2
894,covered,pan,3
895,begins,cracks,1
896,cup,boy,3
897,remove,banana,1
898,preparing,sleep,1
899,right,bowling,1
900,piece,quarters,2
901,piece,biting,1
902,stacks,top,2
903,box,wiping,2
904,do,describing,1
905,enter,strikes,1
906,are,breaking,2
907,boy,rounds,1
908,attempting,swoops,1
909,watch,are,5
910,turning,is,36
911,decorating,are,1
912,is,panicking,1
913,cutting,scene,1
914,sharpens,using,1
915,tried,hit,1
916,lights,are,2
917,cooked,covered,1
918,mushrooms,covers,1
919,drinking,getting,2
920,bikes,perform,1
921,is,discussing,3
922,go,squatting,1
923,weird,fixed,1
924,cuts,body,3
925,side,hitchhiking,2
926,reel,trying,4
927,live,disects,1
928,playing,yelling,1
929,bread,taking,2
930,died,has,1
931,washing,getting,2
932,stopping,running,1
933,Making,step,2
934,speeding,hard,1
935,ground,neck,3
936,boat,flooded,6
937,pull,attempts,1
938,girl,seting,3
939,are,putting,14
940,being,turned,3
941,sailed,sea,1
942,baby,backwards,1
943,legs,flips,1
944,cake,mixing,5
945,placing,are,3
946,watch,laptop,1
947,recording,talks,1
948,ground,wearing,1
949,swimming,walked,1
950,braided,girl,2
951,put,piece,3
952,neck,suitcases,1
953,sitting,separate,1
954,mouth,fish,5
955,ground,stick,1
956,bicycle,elongated,1
957,laying,covers,2
958,enters,holding,1
959,amazing,talented,1
960,shrimp,standing,1
961,left,talking,1
962,being,flooded,1
963,meat,dropped,1
964,girl,lips,4
965,close,teeth,1
966,are,picks,1
967,walking,penguins,15
968,driving,performing,1
969,jumping,chases,1
970,wiping,cloth,2
971,fell,fishes,2
972,tap,fry,1
973,omelet,eat,1
974,plate,pancake,2
975,hair,showing,4
976,heare,song,2
977,Contact,dirty,1
978,herself,beam,1
979,sewing,stitches,1
980,spike,demonstrating,1
981,snake,crawling,7
982,has,nails,1
983,video,make,31
984,head,flips,1
985,scrambles,box,1
986,poured,slime,5
987,mountains,is,1
988,s,being,4
989,threw,yelled,1
990,sea,ice,1
991,peeled,cooked,3
992,glow,thrusting,1
993,glow,making,1
994,unpeeled,knife,1
995,paddling,top,1
996,sand,high,2
997,noodles,make,8
998,covering,is,25
999,put,boy,2
1000,keeping,sharpening,1
1001,amidst,winding,1
1002,exercises,tai,1
1003,adding,bowl,72
1004,potato,scraped,1
1005,fish,changing,1
1006,mixing,raw,2
1007,driving,flashes,1
1008,type,moving,2
1009,wrapped,scene,1
1010,sword,skills,2
1011,dropping,slices,1
1012,omelet,cooking,5
1013,dressed,yelling,1
1014,boys,talking,7
1015,ring,making,1
1016,push,spins,1
1017,bats,barks,1
1018,boiled,cut,4
1019,cutting,round,4
1020,guitar,i,1
1021,fast,sitting,1
1022,paws,wit,1
1023,face,make,16
1024,putting,eggs,9
1025,open,video,1
1026,uploading,work,1
1027,flame,is,1
1028,shown,taking,1
1029,drink,dog,2
1030,crawls,gets,1
1031,smashed,being,1
1032,dog,pawing,5
1033,was,whipped,1
1034,dressed,throws,1
1035,¿,added,1
1036,snake,containing,1
1037,is,running,976
1038,ball,bouncing,12
1039,boy,bites,4
1040,train,reaching,1
1041,knocking,toys,1
1042,teases,placing,1
1043,dressed,surround,1
1044,parked,goes,1
1045,dog,washing,13
1046,is,covered,18
1047,appears,float,1
1048,cucumber,is,173
1049,frm,be,1
1050,rounds,using,1
1051,fast,use,1
1052,is,shotgun,35
1053,descaled,being,1
1054,moving,push,2
1055,admiring,is,2
1056,raises,ground,1
1057,girl,frying,4
1058,rotating,tapping,1
1059,hands,guitar,2
1060,target,being,11
1061,eat,animal,5
1062,cutting,meet,2
1063,harnessed,rock,1
1064,kitten,face,2
1065,si,putting,1
1066,meet,beach,1
1067,describing,is,18
1068,making,makeup,2
1069,wet,shivering,1
1070,lengthwise,knife,1
1071,removes,bowl,4
1072,disturbing,getting,1
1073,lands,raised,1
1074,sprinkle,using,1
1075,meat,rice,6
1076,beef,tips,1
1077,is,penciled,1
1078,baby,suckling,1
1079,breaks,row,2
1080,show,pudding,4
1081,nail,nail,2
1082,dipping,cooking,1
1083,stands,hair,1
1084,open,driven,1
1085,carrying,cup,1
1086,roof,pole,9
1087,des,»,2
1088,standing,grinning,1
1089,hit,piece,1
1090,doing,get,1
1091,drives,starts,1
1092,ï,added,1
1093,rolling,omelet,1
1094,makeup,mainten,1
1095,misses,boy,5
1096,pretending,lying,1
1097,girl,seat,3
1098,cook,enjoyed,1
1099,entering,hung,1
1100,powder,sprinkiling,1
1101,bowl,frying,1
1102,melted,rice,1
1103,mans,cleaning,2
1104,fired,picked,1
1105,ship,try,1
1106,baby,gets,10
1107,graduated,deserve,1
1108,dog,dribbled,1
1109,is,kicking,136
1110,ground,cooking,4
1111,pour,trying,1
1112,meat,chopping,17
1113,potato,dice,1
1114,looking,feeds,1
1115,omelet,appears,1
1116,crossing,rode,1
1117,bottom,walks,1
1118,walks,chews,1
1119,flame,burned,1
1120,using,cooking,5
1121,headset,cover,3
1122,shredding,potato,1
1123,switches,doing,1
1124,pushing,ball,4
1125,speeking,is,2
1126,combing,giving,1
1127,drive,backing,1
1128,flipping,animation,1
1129,pet,talking,2
1130,pudding,sprinkles,1
1131,boy,filled,2
1132,stays,'s,1
1133,squirting,'s,1
1134,head,stuff,2
1135,sunglasses,swirling,1
1136,snake,beating,1
1137,gets,bow,1
1138,boy,nail,1
1139,is,perfoming,2
1140,slides,legs,1
1141,calling,playing,1
1142,skills,shows,1
1143,sushi,preparing,3
1144,trying,pet,3
1145,rice,moving,1
1146,eating,video,3
1147,speeding,crossing,1
1148,explaining,leaf,1
1149,falling,watches,2
1150,jumping,was,2
1151,measuring,girl,1
1152,spices,preparing,1
1153,showing,jump,1
1154,baby,high,13
1155,scratches,Removing,1
1156,dog,answers,1
1157,pass,dunk,1
1158,climbing,practising,1
1159,mayonnaise,standing,1
1160,cut,chop,1
1161,ate,chicken,1
1162,flips,floats,1
1163,attempts,boy,4
1164,seasoning,mans,1
1165,reads,piece,2
1166,seat,be,1
1167,fish,gets,2
1168,guitars,color,1
1169,funny,opposite,1
1170,brown,top,2
1171,skin,Peel,1
1172,fish,jumped,2
1173,prey,tiger,1
1174,jump,wants,1
1175,is,fire,82
1176,falling,looks,1
1177,draws,open,1
1178,high,showing,1
1179,ball,thrown,4
1180,mans,hands,11
1181,head,nods,1
1182,dancing,ground,2
1183,video,running,1
1184,seaweed,slices,1
1185,slice,trash,2
1186,scratching,play,1
1187,demo,chicken,1
1188,rain,open,1
1189,tree,rising,1
1190,grooming,chimpanzee,1
1191,sauce,Cooking,1
1192,bathing,doing,2
1193,was,mean,1
1194,tapped,head,1
1195,was,trying,4
1196,justï,is,1
1197,skin,places,1
1198,background,lights,1
1199,frog,has,1
1200,cut,squash,3
1201,watches,inch,1
1202,Removing,scratches,1
1203,set,ground,1
1204,make,knives,6
1205,toys,trying,1
1206,walking,'s,21
1207,sudden,towards,1
1208,kneels,holding,1
1209,mouth,weird,1
1210,tiger,swimming,3
1211,is,knelt,1
1212,boy,scaketing,1
1213,cutting,rice,2
1214,glides,suspended,1
1215,batting,boxing,2
1216,inserting,skewers,1
1217,cook,tortillas,1
1218,opposite,take,1
1219,playing,fails,1
1220,fire,trying,6
1221,empties,pan,2
1222,parking,sprays,1
1223,walk,made,1
1224,bottom,sitting,3
1225,is,violin,179
1226,named,fro,1
1227,Shouting,grabs,1
1228,drive,boat,1
1229,cut,attempt,1
1230,removes,spaghetti,1
1231,set,shot,2
1232,free,diving,1
1233,paw,purring,1
1234,row,eat,1
1235,is,controlled,9
1236,top,stove,3
1237,cooke,bought,1
1238,get,knocked,1
1239,score,moves,1
1240,child,horse,20
1241,places,comes,1
1242,ice,laughs,1
1243,jump,swim,1
1244,pan,spoons,1
1245,funny,show,2
1246,ship,dancing,1
1247,dinning,jumps,1
1248,eats,rice,2
1249,chicken,coking,2
1250,girl,squirted,1
1251,chasing,be,1
1252,pounded,nails,1
1253,meat,separating,2
1254,tries,stand,1
1255,are,jogging,13
1256,tries,moving,1
1257,is,hammering,10
1258,standing,enclosed,2
1259,crawls,snake,2
1260,washed,paw,1
1261,curls,hair,5
1262,turning,placed,1
1263,face,demonstrating,1
1264,'s,taken,3
1265,shooting,ground,4
1266,horse,stands,6
1267,bread,roll,2
1268,vegetables,diced,1
1269,penguins,doing,1
1270,baby,bitten,2
1271,bake,putting,1
1272,hangs,rope,1
1273,move,knife,2
1274,dry,move,1
1275,talking,are,324
1276,¿,cast,1
1277,noodles,placing,3
1278,dog,being,11
1279,knifes,cook,1
1280,squeezes,girl,1
1281,showering,silhouetted,1
1282,throwing,flower,1
1283,'s,chewed,1
1284,hitch,trying,4
1285,frying,flipped,1
1286,tries,escape,1
1287,dog,child,30
1288,frog,swallow,1
1289,Contact,appreciate,1
1290,couch,running,2
1291,dog,lying,25
1292,speed,curl,1
1293,nails,filing,14
1294,typing,using,3
1295,shot,celebrates,1
1296,are,approach,1
1297,helping,plow,1
1298,box,sitting,2
1299,relieve,uses,1
1300,'s,cling,1
1301,opened,box,12
1302,type,girl,1
1303,looked,dog,4
1304,enjoying,strumming,1
1305,dog,tilting,1
1306,ice,hogging,1
1307,hill,dragging,4
1308,chair,hands,2
1309,beach,tricks,2
