,Unnamed: 0,Source,Target,Weight
35366,35366,song,guitar,44
35482,35482,bull,man,33
35553,35553,puppet,is,49
35656,35656,dog,yard,42
35725,35725,catching,is,72
35727,35727,boy,water,52
35730,35730,body,is,65
35752,35752,sliced,man,90
35793,35793,woman,placing,45
35939,35939,chasing,are,37
36126,36126,dog,back,75
36148,36148,is,yard,34
36244,36244,crowd,man,36
36372,36372,are,Kids,67
36389,36389,carrot,slicing,114
36425,36425,person,making,162
36525,36525,flute,wooden,61
36546,36546,gum,bubble,32
36578,36578,raw,eggs,31
36593,36593,set,is,33
36684,36684,man,pizza,226
36724,36724,combing,her,38
36778,36778,man,feet,73
36779,36779,doing,is,991
36939,36939,hand,holding,59
37001,37001,watermelon,is,103
37064,37064,off,piece,44
37181,37181,machine,man,65
37276,37276,chopping,knife,56
37446,37446,man,hit,96
37672,37672,person,chicken,54
37821,37821,man,picks,33
37886,37886,person,dough,42
37944,37944,eyes,is,31
37956,37956,road,man,221
38048,38048,jumping,cat,93
38134,38134,man,block,49
38348,38348,motor,man,51
38369,38369,man,enjoying,31
38648,38648,boy,woman,33
38695,38695,water,spraying,32
38697,38697,woman,tofu,68
38810,38810,rain,woman,85
39003,39003,down,is,825
39037,39037,woman,rock,55
39118,39118,road,are,91
39127,39127,down,baby,31
39271,39271,are,singing,182
39287,39287,man,drinks,40
39470,39470,slicing,loaf,42
39577,39577,Someone,mixing,51
39764,39764,man,street,172
39769,39769,pool,water,40
39805,39805,making,man,257
39818,39818,is,fighting,68
39829,39829,egg,woman,192
39960,39960,milk,is,151
39961,39961,sugar,is,53
39963,39963,cutting,sword,41
40049,40049,board,off,31
40149,40149,milk,pouring,44
40164,40164,water,tub,31
40228,40228,cutting,tomato,77
40268,40268,game,man,57
40305,40305,water,mixing,33
40357,40357,standing,are,73
40370,40370,bath,tub,35
40379,40379,floating,is,36
40646,40646,running,water,54
40707,40707,feeding,man,59
40883,40883,basketball,man,97
40906,40906,is,girls,34
40912,40912,Peoples,are,36
40914,40914,is,attacking,75
40944,40944,pepper,is,144
40964,40964,is,painting,48
41006,41006,squirrel,is,70
41086,41086,ground,are,34
41120,41120,hands,'s,38
41137,41137,group,dance,48
41238,41238,is,edge,41
41249,41249,elephant,trunk,32
41273,41273,baby,'s,80
41284,41284,onion,cuts,55
41351,41351,wine,man,31
41371,41371,food,making,66
41418,41418,are,dog,99
41441,41441,violin,man,77
41457,41457,man,eats,51
41634,41634,man,one,254
41638,41638,group,are,346
41644,41644,item,is,39
41668,41668,pot,is,330
41669,41669,man,yoga,38
41719,41719,plate,food,34
41723,41723,finger,frog,67
41911,41911,elephant,is,201
41959,41959,driving,bike,34
42060,42060,is,egg,262
42079,42079,is,tiger,160
42144,42144,boiled,is,49
42207,42207,bike,doing,34
42290,42290,piece,bread,40
42302,42302,onion,lady,65
42618,42618,running,beach,40
42641,42641,are,wrestling,94
42652,42652,woman,dish,37
42710,42710,spreading,is,112
42770,42770,bed,girl,58
42800,42800,bird,is,164
42963,42963,egg,cracking,42
43134,43134,kicking,ball,82
43203,43203,is,pet,59
43363,43363,car,crashes,31
43385,43385,woman,grating,33
43407,43407,dog,'s,137
43486,43486,is,talking,810
43517,43517,pineapple,slicing,34
43578,43578,raw,man,35
43643,43643,meat,piece,119
43685,43685,trumpet,boy,32
43689,43689,man,crowd,36
43697,43697,children,are,118
43860,43860,is,waking,32
43925,43925,mouth,dog,71
44088,44088,flute,played,37
44137,44137,stirring,man,103
44191,44191,woman,hugging,37
44312,44312,water,being,36
44341,44341,hammer,man,69
44648,44648,frying,is,284
44732,44732,side,is,118
44805,44805,man,bench,35
44826,44826,person,carrot,34
44888,44888,runs,dog,81
44958,44958,lady,added,45
44999,44999,cuts,slices,37
45010,45010,lady,horse,54
45022,45022,cat,off,42
45034,45034,ocean,man,38
45062,45062,man,women,64
45069,45069,crocodile,man,36
45189,45189,playing,while,84
45258,45258,cat,window,53
45282,45282,man,cell,51
45293,45293,men,talking,81
45400,45400,are,music,56
45440,45440,walks,dog,49
45464,45464,are,basketball,78
45518,45518,ground,dog,37
45564,45564,woman,mixing,111
45572,45572,woman,wall,37
45622,45622,is,pulling,115
45640,45640,girl,plants,35
45704,45704,cat,ceiling,52
45791,45791,woman,ride,49
45954,45954,man,sliced,90
45966,45966,are,Peoples,36
46035,46035,is,goat,32
46192,46192,escalator,down,31
46214,46214,sand,is,52
46224,46224,man,cuts,188
46248,46248,keyboard,typing,57
46255,46255,cat,trying,109
46311,46311,bath,is,98
46334,46334,putting,bowl,73
46411,46411,mixture,bowl,35
46468,46468,street,car,37
46474,46474,person,music,45
46477,46477,searching,is,31
46511,46511,man,cards,52
46717,46717,cat,table,63
46835,46835,woman,noodles,37
46892,46892,mouth,man,46
47002,47002,playing,are,1193
47122,47122,rice,person,67
47130,47130,driving,are,45
47164,47164,eye,girl,46
47257,47257,man,looking,72
47333,47333,baby,smiling,39
47336,47336,man,rolling,35
47384,47384,one,is,363
47460,47460,lady,dog,52
47464,47464,woman,river,31
47490,47490,one,playing,57
47537,47537,hit,is,55
47576,47576,blowing,is,90
47666,47666,makeup,girl,65
47745,47745,garlic,person,45
47993,47993,Someone,raw,37
48139,48139,bike,girl,48
48303,48303,girl,violin,46
48356,48356,is,skin,110
48554,48554,cheetah,is,40
48576,48576,playing,is,5489
48641,48641,is,underwater,32
48718,48718,dancing,Men,37
48837,48837,dog,food,79
48875,48875,girl,stage,34
48997,48997,is,adding,325
49132,49132,person,meat,140
49177,49177,playing,lady,49
49205,49205,sword,cutting,41
49243,49243,man,chops,65
49315,49315,man,pots,34
49328,49328,talking,cell,39
49470,49470,cooking,person,300
49510,49510,pool,man,71
49635,49635,girl,car,45
49755,49755,martial,arts,68
49875,49875,moving,down,36
49921,49921,tomato,is,239
49948,49948,is,wagging,78
50090,50090,batter,man,32
50223,50223,motorcycle,rides,44
50229,50229,couple,walking,34
50278,50278,cutting,leaves,47
50430,50430,pours,water,61
50495,50495,vegetables,woman,123
50512,50512,man,chain,32
50683,50683,tennis,is,31
50778,50778,man,tricks,104
50785,50785,meat,frying,34
50813,50813,rice,water,42
50842,50842,pieces,cutting,211
50900,50900,working,man,35
50901,50901,man,microwave,59
50922,50922,her,horse,41
51216,51216,are,phone,62
51231,51231,is,filing,37
51262,51262,man,performing,130
51308,51308,her,makeup,51
51410,51410,is,keyboard,223
51454,51454,boy,doing,85
51479,51479,cutting,scissors,67
51703,51703,pan,lady,66
51752,51752,hill,is,54
51767,51767,MAN,RIDING,42
51774,51774,is,tortoise,42
51781,51781,talking,girls,53
51790,51790,child,playing,81
51825,51825,sunflower,seeds,31
51842,51842,is,grass,237
51897,51897,dancing,couple,40
52128,52128,lady,cutting,132
52139,52139,water,running,54
52146,52146,being,are,148
52173,52173,plane,air,41
52176,52176,is,sprinkling,83
52306,52306,is,string,31
52365,52365,her,styling,33
52443,52443,man,peels,32
52462,52462,fighting,man,49
52695,52695,man,riding,1171
52768,52768,swimming,is,281
53034,53034,player,basket,42
53150,53150,is,teacher,32
53201,53201,pours,pan,53
53268,53268,something,cutting,101
53277,53277,man,something,234
53281,53281,pouring,milk,44
53304,53304,tomatoes,is,96
53324,53324,road,is,339
53333,53333,man,potato,271
53351,53351,man,recipe,34
53389,53389,doing,her,40
53411,53411,is,train,110
53564,53564,man,pouring,302
53598,53598,cat,down,63
53647,53647,woman,making,116
53715,53715,is,slow,90
53732,53732,playing,pandas,33
53745,53745,'s,dog,137
53788,53788,oil,adding,41
53833,53833,face,girl,39
53851,53851,is,oven,73
53892,53892,motor,bike,45
53996,53996,shrimp,Someone,74
54017,54017,dog,dog,144
54065,54065,water,glass,45
54118,54118,her,while,49
54215,54215,while,talking,74
54257,54257,lion,playing,32
54312,54312,broccoli,woman,49
54545,54545,riding,horses,74
54595,54595,are,Boys,35
54634,54634,container,man,105
54666,54666,garlic,chopping,62
54667,54667,water,walking,52
54713,54713,table,are,64
54748,54748,wheel,is,58
54792,54792,woman,open,31
54801,54801,window,is,111
55012,55012,is,laptop,56
55210,55210,swimming,man,69
55247,55247,motorcycle,man,398
55257,55257,water,boat,35
55260,55260,piano,keys,32
55305,55305,Someone,egg,32
55337,55337,rolling,is,151
55371,55371,oil,pan,124
55379,55379,is,liquid,146
55388,55388,man,refrigerator,31
55543,55543,stirring,Someone,64
55612,55612,peppers,is,44
55697,55697,orange,is,43
55942,55942,off,jumps,61
56008,56008,man,dressed,33
56031,56031,climbing,wall,72
56043,56043,down,hill,52
56244,56244,get,is,97
56246,56246,onion,dicing,51
56378,56378,boy,are,63
56404,56404,is,weights,108
56546,56546,piano,girl,35
56578,56578,pizza,man,226
56589,56589,horse,girl,211
56778,56778,man,wings,32
56798,56798,using,her,40
56828,56828,spinning,is,69
56879,56879,eating,hamster,66
56985,56985,water,rice,42
56994,56994,feet,man,73
57105,57105,is,down,825
57127,57127,vegetable,lady,40
57135,57135,beef,man,32
57166,57166,hitting,is,141
57193,57193,playing,woman,280
57215,57215,dolls,girl,40
57399,57399,guitar,plays,244
57490,57490,water,dolphin,44
57491,57491,preparing,chicken,35
57524,57524,man,across,98
57668,57668,lady,meat,84
57857,57857,'s,boy,39
57878,57878,water,boy,52
57947,57947,man,giving,115
57953,57953,mouth,her,40
57997,57997,woman,rice,93
58049,58049,horse,person,120
58053,58053,person,seasoning,32
58133,58133,man,spices,34
58198,58198,garden,is,49
58215,58215,are,standing,73
58363,58363,rides,horse,113
58447,58447,together,dancing,33
58471,58471,pouring,man,302
58611,58611,cat,printer,35
58684,58684,ginger,is,48
58687,58687,gorilla,playing,34
58823,58823,Dogs,are,37
58853,58853,exercise,doing,155
58915,58915,wood,are,31
58968,58968,is,ginger,48
59073,59073,eye,her,41
59286,59286,Someone,holding,39
59383,59383,barking,dog,122
59459,59459,mixes,bowl,36
59550,59550,pork,chops,31
59579,59579,climbing,man,61
59625,59625,singing,man,528
59663,59663,meat,Someone,109
59892,59892,chopping,woman,211
59931,59931,is,rain,115
59974,59974,goal,soccer,118
60016,60016,boys,are,271
60062,60062,are,animals,69
60100,60100,bowl,putting,73
60102,60102,baking,is,32
60190,60190,Someone,knife,40
60267,60267,THE,IS,356
60284,60284,PLAYING,IS,178
60343,60343,is,someone,193
60443,60443,trick,man,69
60467,60467,food,person,120
60476,60476,coming,is,62
60504,60504,water,fish,51
60536,60536,make,lady,40
60581,60581,are,cooking,55
60731,60731,song,playing,54
61048,61048,butter,man,135
61066,61066,is,cloth,34
61124,61124,water,man,664
61225,61225,is,newspaper,35
61411,61411,woman,ingredients,110
61420,61420,using,woman,104
61429,61429,pool,is,137
61451,61451,is,basket,49
61490,61490,washing,is,159
61544,61544,applies,woman,40
61609,61609,off,cliff,51
61636,61636,living,room,37
61728,61728,is,piece,401
61795,61795,truck,man,85
61873,61873,tree,man,138
61902,61902,is,fast,53
61984,61984,fast,is,53
62289,62289,seeds,eating,37
62306,62306,concrete,man,42
62349,62349,standing,woman,46
62444,62444,playing,game,133
62569,62569,are,street,71
62620,62620,raw,is,83
62730,62730,Someone,keyboard,43
62801,62801,eating,animal,86
62866,62866,is,paper,477
62867,62867,man,shoots,124
62887,62887,container,plastic,78
62895,62895,MAN,CUTTING,63
62986,62986,panda,bear,47
63082,63082,eating,something,121
63097,63097,window,looking,69
63236,63236,pot,man,160
63248,63248,Women,dancing,57
63407,63407,toad,is,34
63526,63526,'s,person,68
63533,63533,rides,bike,59
63619,63619,tennis,playing,37
63638,63638,are,cats,55
63681,63681,road,car,141
63695,63695,tiger,baby,44
63917,63917,boy,is,1789
63947,63947,man,mouth,46
63959,63959,floor,cat,94
63968,63968,onion,woman,283
63977,63977,is,baking,32
63985,63985,cat,fan,50
64123,64123,is,pancake,33
64186,64186,is,curry,41
