,id,label,modularity_class
157,guys,guys,NNS
158,horses,horses,NNS
159,friend,friend,NN
160,Someone,Someone,NN
161,boy,boy,NN
162,stable,stable,NN
163,building,building,NN
164,wall,wall,NN
165,practice,practice,NN
166,riding,riding,NN
167,gun,gun,NN
168,targets,targets,NNS
169,revolver,revolver,NN
170,target,target,NN
171,range,range,NN
172,pistol,pistol,NN
173,action,action,NN
174,shoots,shoots,NNS
175,row,row,NN
176,handgun,handgun,NN
177,practise,practise,NN
178,colt,colt,NN
179,distance,distance,NN
180,shot,shot,NN
181,piano,piano,NN
182,lesson,lesson,NN
183,vibrato,vibrato,NN
184,violen,violen,NN
185,playing,playing,NN
186,singing,singing,NN
187,gitter,gitter,NN
188,voilin,voilin,NN
189,phone,phone,NN
190,cell,cell,NN
191,telephone,telephone,NN
192,talks,talks,NNS
193,mand,mand,NN
194,talk,talk,NN
195,office,office,NN
196,conversation,conversation,NN
197,mobile,mobile,NN
198,lone,lone,NN
199,shirt,shirt,NN
200,tie,tie,NN
201,cellphone,cellphone,NN
202,someone,someone,NN
203,cordless,cordless,NN
204,mango,mango,NN
205,chef,chef,NN
206,avocado,avocado,NN
207,skin,skin,NN
208,peeler,peeler,NN
209,peels,peels,NNS
210,squash,squash,NN
211,fruits,fruits,NNS
212,mangoes,mangoes,NNS
213,eating,eating,NN
214,peel,peel,NN
215,slices,slices,NNS
216,outer,outer,NN
217,layer,layer,NN
218,taking,taking,NN
219,pickel,pickel,NN
220,friut,friut,NN
221,msngo,msngo,NN
222,mangos,mangos,NNS
223,covering,covering,NN
224,cover,cover,NN
225,fruit,fruit,NN
226,rifle,rifle,NN
227,field,field,NN
228,times,times,NNS
229,assault,assault,NN
230,hill,hill,NN
231,grassland,grassland,NN
232,series,series,NN
233,bullets,bullets,NNS
234,pices,pices,NNS
235,farm,farm,NN
236,machine,machine,NN
237,shots,shots,NNS
238,automatice,automatice,NN
239,training,training,NN
240,weapon,weapon,NN
241,place,place,NN
242,grass,grass,NN
243,SHOOTING,SHOOTING,NN
244,check,check,NN
245,river,river,NN
246,bridge,bridge,NN
247,jump,jump,NN
248,creek,creek,NN
249,pool,pool,NN
250,others,others,NNS
251,lake,lake,NN
252,Cards,Cards,NNS
253,pack,pack,NN
254,cards,cards,NNS
255,card,card,NN
256,deck,deck,NN
257,hands,hands,NNS
258,trick,trick,NN
259,tricks,tricks,NNS
260,play,play,NN
261,sleight,sleight,NN
262,hand,hand,NN
263,hearts,hearts,NNS
264,side,side,NN
265,king,king,NN
266,spades,spades,NNS
267,magic,magic,NN
268,Man,Man,NN
269,preforms,preforms,NNS
270,baseball,baseball,NN
271,player,player,NN
272,ball,ball,NN
273,players,players,NNS
274,team,team,NN
275,couple,couple,NN
276,fun,fun,NN
277,base,base,NN
278,trio,trio,NN
279,park,park,NN
280,parking,parking,NN
281,lot,lot,NN
282,Baseball,Baseball,NN
283,catches,catches,NNS
284,day,day,NN
285,Guys,Guys,NNS
286,cricket,cricket,NN
287,baseeball,baseeball,NN
288,sidewalk,sidewalk,NN
289,youngsters,youngsters,NNS
290,pitcher,pitcher,NN
291,forth,forth,NN
292,streets,streets,NNS
293,uniforms,uniforms,NNS
294,walk,walk,NN
295,catch,catch,NN
296,throw,throw,NN
297,bat,bat,NN
298,males,males,NNS
299,watches,watches,NNS
300,Video,Video,NN
301,gags,gags,NNS
302,sport,sport,NN
303,way,way,NN
304,cat,cat,NN
305,floor,floor,NN
306,corridor,corridor,NN
307,wood,wood,NN
308,ride,ride,NN
309,limp,limp,NN
310,owner,owner,NN
311,acat,acat,NN
312,lying,lying,NN
313,hall,hall,NN
314,dust,dust,NN
315,mop,mop,NN
316,hardwood,hardwood,NN
317,sushi,sushi,NN
318,food,food,NN
319,dish,dish,NN
320,dog,dog,NN
321,piece,piece,NN
322,octopus,octopus,NN
323,squid,squid,NN
324,plate,plate,NN
325,seeds,seeds,NNS
326,sausage,sausage,NN
327,tray,tray,NN
328,seed,seed,NN
329,cut,cut,NN
330,serving,serving,NN
331,vegetable,vegetable,NN
332,bento,bento,NN
333,box,box,NN
334,thing,thing,NN
335,sausages,sausages,NNS
336,platter,platter,NN
337,coking,coking,NN
338,somebody,somebody,NN
339,lunch,lunch,NN
340,sides,sides,NNS
341,pork,pork,NN
342,chop,chop,NN
343,pepper,pepper,NN
344,spices,spices,NNS
345,meat,meat,NN
346,salt,salt,NN
347,steak,steak,NN
348,loin,loin,NN
349,meatn,meatn,NN
350,fish,fish,NN
351,seasonings,seasonings,NNS
352,show,show,NN
353,curry,curry,NN
354,port,port,NN
355,anyone,anyone,NN
356,detail,detail,NN
357,trouble,trouble,NN
358,rubberband,rubberband,NN
359,stack,stack,NN
360,files,files,NNS
361,package,package,NN
362,covers,covers,NNS
363,bundle,bundle,NN
364,string,string,NN
365,papers,papers,NNS
366,packets,packets,NNS
367,rubber,rubber,NN
368,dozen,dozen,NN
369,envelopes,envelopes,NNS
370,cord,cord,NN
371,letters,letters,NNS
372,assistant,assistant,NN
373,manila,manila,NN
374,envelops,envelops,NNS
375,bundles,bundles,NNS
376,envelope,envelope,NN
377,mail,mail,NN
378,items,items,NNS
379,lab,lab,NN
380,packetts,packetts,NN
381,parcels,parcels,NNS
382,pile,pile,NN
383,help,help,NN
384,thread,thread,NN
385,documents,documents,NNS
386,difficulty,difficulty,NN
387,business,business,NN
388,mailing,mailing,NN
389,broccoli,broccoli,NN
390,stalk,stalk,NN
391,head,head,NN
392,stem,stem,NN
393,flowerette,flowerette,NN
394,cauliflower,cauliflower,NN
395,brocolli,brocolli,NN
396,dogs,dogs,NNS
397,egg,egg,NN
398,brocoli,brocoli,NN
399,florets,florets,NNS
400,vegatables,vegatables,NNS
401,persong,persong,NN
402,inorder,inorder,NN
403,meal,meal,NN
404,cooking,cooking,NN
405,sit,sit,NN
406,kichen,kichen,NN
407,bulldog,bulldog,NN
408,yard,yard,NN
409,yoga,yoga,NN
410,blue,blue,NN
411,handball,handball,NN
412,bull,bull,NN
413,grount,grount,NN
414,size,size,NN
415,blast,blast,NN
416,war,war,NN
417,dough,dough,NN
418,l,l,NN
419,baker,baker,NN
420,marzipan,marzipan,NN
421,cake,cake,NN
422,bread,bread,NN
423,pastry,pastry,NN
424,roller,roller,NN
425,wedding,wedding,NN
426,nutshells,nutshells,NNS
427,table,table,NN
428,hamster,hamster,NN
429,carrots,carrots,NNS
430,mouth,mouth,NN
431,cheeks,cheeks,NN
432,mouse,mouse,NN
433,ate,ate,NN
434,sunflower,sunflower,NN
435,rat,rat,NN
436,froot,froot,NN
437,gerbil,gerbil,NN
438,nuts,nuts,NNS
439,crawls,crawls,NN
440,hampster,hampster,NN
441,guinea,guinea,NN
442,pig,pig,NN
443,eats,eats,NN
444,trumpet,trumpet,NN
445,saxophone,saxophone,NN
446,room,room,NN
447,trampet,trampet,NN
448,insturment,insturment,NN
449,solo,solo,NN
450,baby,baby,NN
451,pandas,pandas,NNS
452,milk,milk,NN
453,bottles,bottles,NNS
454,bottles-milk,bottles-milk,NN
455,bottle,bottle,NN
456,babies,babies,NNS
457,panda,panda,NN
458,bears,bears,NNS
459,feeding,feeding,NN
460,cage,cage,NN
461,keeper,keeper,NN
462,somthing,somthing,NN
463,vet,vet,NN
464,cubs,cubs,NNS
465,robot,robot,NN
466,vacuum,vacuum,NN
467,roomba,roomba,NN
468,cleaner,cleaner,NN
469,top,top,NN
470,appliance,appliance,NN
471,disk,disk,NN
472,driver,driver,NN
473,kitten,kitten,NN
474,wow,wow,NN
475,glass,glass,NN
476,liquid,liquid,NN
477,pours,pours,NN
478,cucumber,cucumber,NN
479,exclaims,exclaims,NNS
480,‚ÄúOh,‚ÄúOh,NN
481,‚Äù,‚Äù,NN
482,satisfaction,satisfaction,NN
483,class,class,NN
484,sip,sip,NN
485,juice,juice,NN
486,drinks,drinks,NNS
487,cup,cup,NN
488,creation,creation,NN
489,super,super,NN
490,making,making,NN
491,mans,mans,NNS
492,flowerettes,flowerettes,NNS
493,beef,beef,NN
494,recipe,recipe,NN
495,stalks,stalks,NNS
496,mutton,mutton,NN
497,girls,girls,NNS
498,COOKING,COOKING,NN
499,beagle,beagle,NN
500,boat,boat,NN
501,body,body,NN
502,sea,sea,NN
503,edge,edge,NN
504,railing,railing,NN
505,pathway,pathway,NN
506,peed,peed,NN
507,houseboat,houseboat,NN
508,restroom,restroom,NN
509,pier,pier,NN
510,territory,territory,NN
511,rail,rail,NN
512,pee,pee,NN
513,dock,dock,NN
514,pass,pass,NN
515,urine,urine,NN
516,swimming,swimming,NN
517,toilet,toilet,NN
518,water..,water..,NN
519,rails,rails,NNS
520,make,make,NN
521,dirty,dirty,NN
522,bathroom,bathroom,NN
523,raft,raft,NN
524,stairs,stairs,NN
525,urinating,urinating,NN
526,stern,stern,NN
527,nature,nature,NN
528,call,call,NN
529,soo,soo,NN
530,school,school,NN
531,kids,kids,NNS
532,classroom,classroom,NN
533,students,students,NNS
534,sheets,sheets,NNS
535,paper,paper,NN
536,bell,bell,NN
537,rings,rings,NNS
538,Kids,Kids,NNS
539,Students,Students,NNS
540,wire,wire,NN
541,jumps,jumps,NNS
542,bed,bed,NN
543,strip,strip,NN
544,cats,cats,NNS
545,hanging,hanging,NN
546,object,object,NN
547,rope,rope,NN
548,ribbon,ribbon,NN
549,jumping,jumping,NN
550,dangling,dangling,NN
551,gazebo,gazebo,NN
552,temple,temple,NN
553,premises,premises,NNS
554,movements,movements,NNS
555,artist,artist,NN
556,dancing,dancing,NN
557,circle,circle,NN
558,platform,platform,NN
559,clouds,clouds,NN
560,mountain,mountain,NN
561,landscapes,landscapes,NNS
562,terrace,terrace,NN
563,pagoda,pagoda,NN
564,structure,structure,NN
565,pavilion,pavilion,NN
566,stone,stone,NN
567,actress,actress,NN
568,sequence,sequence,NN
569,decorations,decorations,NNS
570,bicycle,bicycle,NN
571,circles,circles,NNS
572,train,train,NN
573,bike,bike,NN
574,tamel,tamel,NN
575,film,film,NN
576,hills,hills,NNS
577,badri,badri,NN
578,boomiga,boomiga,NN
579,vigay,vigay,NN
580,sing,sing,NN
581,dance,dance,NN
582,cycle,cycle,NN
583,vijay,vijay,NN
584,fire,fire,NN
585,lights,lights,NNS
586,change,change,NN
587,Musicians,Musicians,NNS
588,artists,artists,NNS
589,mike,mike,NN
590,gang,gang,NN
591,zagreb,zagreb,NN
592,SINGERS,SINGERS,NNS
593,bunny,bunny,NN
594,rabbit,rabbit,NN
595,ledge,ledge,NN
596,paws,paws,NN
597,legs,legs,NNS
598,sits,sits,NNS
599,doorway,doorway,NN
600,paw,paw,NN
601,door,door,NN
602,rabit,rabit,NN
603,infront,infront,NN
604,fence,fence,NN
605,palm,palm,NN
606,lounge,lounge,NN
607,chair,chair,NN
608,beach,beach,NN
609,umbrella,umbrella,NN
610,sea-shore,sea-shore,NN
611,tide,tide,NN
612,sand,sand,NN
613,rest,rest,NN
614,living,living,NN
615,Somebody,Somebody,NN
616,pets,pets,NNS
617,PLAYING,PLAYING,NN
618,leash,leash,NN
619,Dogs,Dogs,NNS
620,forest,forest,NN
621,towards,towards,NNS
622,ocean,ocean,NN
623,gate,gate,NN
624,path,path,NN
625,hero,hero,NN
626,heroine,heroine,NN
627,bot,bot,NN
628,antifreeze,antifreeze,NN
629,jug,jug,NN
630,funnel,funnel,NN
631,car,car,NN
632,radiator,radiator,NN
633,oil,oil,NN
634,coolant,coolant,NN
635,engine,engine,NN
636,fluid,fluid,NN
637,vehicle,vehicle,NN
638,anti,anti,NN
639,freeze,freeze,NN
640,tank,tank,NN
641,petrol,petrol,NN
642,skateboards,skateboards,NNS
643,step,step,NN
644,ramp,ramp,NN
645,scooter,scooter,NN
646,pocket,pocket,NN
647,rocket,rocket,NN
648,stunts,stunts,NNS
649,kid,kid,NN
650,skateboard,skateboard,NN
651,stunt,stunt,NN
652,backflip,backflip,NN
653,acrobatics,acrobatics,NNS
654,board,board,NN
655,footage,footage,NN
656,hind,hind,NN
657,prairie,prairie,NN
658,camera,camera,NN
659,chipmunk,chipmunk,NN
660,score,score,NN
661,animal,animal,NN
662,steers,steers,NNS
663,stares,stares,NNS
664,evil,evil,NN
665,stare,stare,NN
666,squirrel,squirrel,NN
667,squrrell,squrrell,NN
668,mangoose,mangoose,NN
669,turning,turning,NN
670,chip,chip,NN
671,munk,munk,NN
672,acts,acts,NNS
673,aquarium,aquarium,NN
674,lookin,lookin,NN
675,turns,turns,NN
676,gopher,gopher,NN
677,conviction,conviction,NN
678,chickmunk,chickmunk,NN
679,dismay,dismay,NN
680,stills,stills,NNS
681,watching,watching,NN
682,emotion,emotion,NN
683,army,army,NN
684,enemies,enemies,NNS
685,word,word,NN
686,emotions,emotions,NNS
687,mother,mother,NN
688,mik,mik,NN
689,child,child,NN
690,care,care,NN
691,exercise,exercise,NN
692,equipment,equipment,NN
693,cross,cross,NN
694,trainer,trainer,NN
695,exercising,exercising,NN
696,children,children,NNS
697,bodybuilder,bodybuilder,NN
698,smaal,smaal,NN
699,workout,workout,NN
700,stepper,stepper,NN
701,cycling,cycling,NN
702,kind,kind,NN
703,exercises,exercises,NNS
704,weights,weights,NNS
705,dumbbells,dumbbells,NNS
706,barbells,barbells,NNS
707,execise,execise,NN
708,dumbles,dumbles,NNS
709,muscles,muscles,NNS
710,curls,curls,NNS
711,dumbbell,dumbbell,NN
712,koy,koy,NN
713,muscle,muscle,NN
714,condition,condition,NN
715,woods,woods,NNS
716,biker,biker,NN
717,dirt,dirt,NN
718,bump,bump,NN
719,height,height,NN
720,beneath,beneath,NN
721,mound,mound,NN
722,biking,biking,NN
723,fprest,fprest,NN
724,cliff,cliff,NN
725,motorcyclist,motorcyclist,NN
726,bycle,bycle,NN
727,trail,trail,NN
728,downhill,downhill,NN
729,freeride,freeride,NN
730,Smeone,Smeone,NN
731,hike,hike,NN
732,bycycle,bycycle,NN
733,bycyle,bycyle,NN
734,desk,desk,NN
735,note,note,NN
736,letter,letter,NN
737,weird,weird,NN
738,activity,activity,NN
739,devils,devils,NNS
740,teacher,teacher,NN
741,glances,glances,NNS
742,writing,writing,NN
743,notebook,notebook,NN
744,crisp,crisp,NN
745,tortillas,tortillas,NNS
746,quarters,quarters,NNS
747,roties,roties,NNS
748,tortila,tortila,NN
749,Tortillas,Tortillas,NNS
750,item,item,NN
751,CUTTING,CUTTING,NN
752,dazzle,dazzle,NN
753,zebras,zebras,NNS
754,flock,flock,NN
755,grazing,grazing,NN
756,zebra,zebra,NN
757,herd,herd,NN
758,graze,graze,NN
759,grasses,grasses,NNS
760,Zebras,Zebras,NNS
761,jungle,jungle,NN
762,ZEBRAS,ZEBRAS,NNS
763,lots,lots,NNS
764,s,s,NN
765,running,running,NN
766,savanna,savanna,NN
767,fields,fields,NNS
768,tatoos,tatoos,NN
769,arm,arm,NN
770,couch,couch,NN
771,kiss,kiss,NN
772,love,love,NN
773,monkey,monkey,NN
774,chase,chase,NN
775,pushes,pushes,NNS
776,gorilla,gorilla,NN
777,orangutan,orangutan,NN
778,ape,ape,NN
779,down,down,NN
780,gorela,gorela,NN
781,apes,apes,NNS
782,gorrlia,gorrlia,NNS
783,chimpanzee,chimpanzee,NN
784,animals,animals,NNS
785,behind,behind,NN
786,push,push,NN
787,reason,reason,NN
788,money,money,NN
789,back,back,NN
790,dolphin,dolphin,NN
791,dives,dives,NNS
792,leaps,leaps,NN
793,plunges,plunges,NNS
794,Earth,Earth,NN
795,shark,shark,NN
796,dine,dine,NN
797,earth,earth,NN
798,sark,sark,NN
799,sun,sun,NN
800,whale,whale,NN
801,PENGUINS,PENGUINS,NN
802,lion,lion,NN
803,hangs,hangs,NNS
804,tiger,tiger,NN
805,cub,cub,NN
806,pen,pen,NN
807,lioness,lioness,NN
808,tries,tries,NNS
809,trys,trys,NN
810,zoo,zoo,NN
811,stap,stap,NN
812,grill,grill,NN
813,club,club,NN
814,tree,tree,NN
815,vapor,vapor,NN
816,environment,environment,NN
817,surrounding,surrounding,NN
818,bullet,bullet,NN
819,report,report,NN
820,musicians,musicians,NNS
821,guitars,guitars,NNS
822,microphones,microphones,NNS
823,guttier,guttier,NN
824,guitor,guitor,NN
825,troup,troup,NN
826,join,join,NN
827,performing,performing,NN
828,Stir,Stir,NN
829,performance,performance,NN
830,sings,sings,NNS
831,studio,studio,NN
832,potato,potato,NN
833,potatoes,potatoes,NNS
834,eighths,eighths,NNS
835,wedges,wedges,NNS
836,i,i,NN
837,potatos,potatos,NNS
838,potatoe,potatoe,NN
839,salad,salad,NN
840,fourths,fourths,NNS
841,container,container,NN
842,plastic,plastic,NN
843,powder,powder,NN
844,bowl,bowl,NN
845,sauce,sauce,NN
846,Seasonings,Seasonings,NNS
847,marinade,marinade,NN
848,Marinade,Marinade,NN
849,sause,sause,NN
850,chicken,chicken,NN
851,flips,flips,NNS
852,trampoline,trampoline,NN
853,trampolines,trampolines,NNS
854,Peoples,Peoples,NNS
855,groups,groups,NNS
856,tramplines,tramplines,NNS
857,summersaults,summersaults,NNS
858,bouncy,bouncy,NN
859,sheet,sheet,NN
860,net,net,NN
861,things,things,NNS
862,veri,veri,NN
863,nice,nice,NN
864,boyes,boyes,NN
865,bunch,bunch,NN
866,tranpoline,tranpoline,NN
867,trampolin,trampolin,NN
868,steps,steps,NNS
869,spring,spring,NN
870,tumble,tumble,NN
871,eggplant,eggplant,NN
872,plant,plant,NN
873,brinjal,brinjal,NN
874,nrinjal,nrinjal,NN
875,bringers,bringers,NNS
876,lipstick,lipstick,NN
877,lips,lips,NNS
878,pink,pink,NN
879,color,color,NN
880,lip,lip,NN
881,maroon,maroon,NN
882,ready,ready,NN
883,stick,stick,NN
884,wearing,wearing,NN
885,glasses,glasses,NNS
886,flute,flute,NN
887,clarinet,clarinet,NN
888,wind,wind,NN
889,bee,bee,NN
890,bubblle,bubblle,NNS
891,watermelon,watermelon,NN
892,melon,melon,NN
893,watermelong,watermelong,NN
894,keyboard,keyboard,NN
895,peyano,peyano,NN
896,composition,composition,NN
897,pianist,pianist,NN
898,melody,melody,NN
899,hedgehog,hedgehog,NN
900,towel,towel,NN
901,teeth,teeth,NNS
902,blanket,blanket,NN
903,cloth,cloth,NN
904,porcipine,porcipine,NN
905,eater,eater,NN
906,rug,rug,NN
907,erizo,erizo,NN
908,mascota,mascota,NN
909,night,night,NN
910,stops,stops,NNS
911,parks,parks,NN
912,headlights,headlights,NNS
913,curb,curb,NN
914,stop,stop,NN
915,Car,Car,NN
916,affection,affection,NN
917,heroin,heroin,NN
918,teams,teams,NNS
919,cricketer,cricketer,NN
920,error,error,NN
921,batter,batter,NN
922,mistake,mistake,NN
923,match,match,NN
924,ran,ran,NN
925,Players,Players,NNS
926,cricet,cricet,NN
927,run,run,NN
928,manner,manner,NN
929,bowler,bowler,NN
930,chance,chance,NN
931,batsman,batsman,NN
932,cirket,cirket,NN
933,pizza,pizza,NN
934,cheese,cheese,NN
935,crust,crust,NN
936,pizzas,pizzas,NN
937,spread,spread,NN
938,grating,grating,NN
939,wars,wars,NNS
940,eggs,eggs,NNS
941,rim,rim,NN
942,Omurice,Omurice,NN
943,omelet,omelet,NN
944,egges,egges,NNS
945,omurice,omurice,NN
946,content,content,NN
947,Lady,Lady,NN
948,nails,nails,NNS
949,fingernails,fingernails,NNS
950,emery,emery,NN
951,fingernail,fingernail,NN
952,nail,nail,NN
953,file,file,NN
954,shape,shape,NN
955,finger,finger,NN
956,shaper,shaper,NN
957,center,center,NN
958,folds,folds,NNS
959,square,square,NN
960,gyroscope,gyroscope,NN
961,origami,origami,NN
962,ways,ways,NNS
963,origamigyroscope,origamigyroscope,NN
964,toy,toy,NN
965,runway,runway,NN
966,picture,picture,NN
967,airbus,airbus,NN
968,tentacle,tentacle,NN
969,seafood,seafood,NN
970,chunks,chunks,NNS
971,inch,inch,NN
972,worms,worms,NNS
973,dumpling,dumpling,NN
974,style,style,NN
975,leg,leg,NN
976,tokoyaki,tokoyaki,NN
977,skillet,skillet,NN
978,mixture,mixture,NN
979,chopsticks,chopsticks,NNS
980,pan,pan,NN
981,reddish,reddish,NN
982,carrot,carrot,NN
983,ingredients,ingredients,NNS
984,frying,frying,NN
985,contents,contents,NNS
986,stire,stire,NN
987,counter,counter,NN
988,minutes,minutes,NNS
989,culture,culture,NN
990,religion,religion,NN
991,katsu,katsu,NNS
992,brown,brown,NN
993,piggyback,piggyback,NN
994,walking,walking,NN
995,guard,guard,NN
996,kalyan,kalyan,NN
997,excising,excising,NN
998,skii,skii,NN
999,skiis,skiis,NN
1000,ski,ski,NN
1001,jetski,jetski,NN
1002,waves,waves,NNS
1003,seadoo,seadoo,NN
1004,watercraft,watercraft,NN
1005,feat,feat,NN
1006,motorbike,motorbike,NN
1007,streamer,streamer,NN
1008,boating,boating,NN
1009,dhoom,dhoom,NN
1010,scene,scene,NN
1011,bollywood,bollywood,NN
1012,'dhoom,'dhoom,NN
1013,suit,suit,NN
1014,motor,motor,NN
1015,skiing,skiing,NN
1016,rain,rain,NN
1017,roof,roof,NN
1018,hillside,hillside,NN
1019,gridge,gridge,NN
1020,dancig,dancig,NN
1021,trailer,trailer,NN
1022,cuple,cuple,NN
1023,karthick,karthick,NN
1024,tamana,tamana,NN
1025,maizhaida,maizhaida,NN
1026,sad,sad,NN
1027,halter,halter,NN
1028,location,location,NN
1029,binoculars,binoculars,NNS
1030,photos,photos,NNS
1031,sunrise,sunrise,NN
1032,trees,trees,NNS
1033,belt,belt,NN
1034,tour,tour,NN
1035,project,project,NN
1036,outside,outside,NN
1037,MAN,MAN,NN
1038,WALKING,WALKING,NN
1039,hoers,hoers,NNS
1040,hole,hole,NN
1041,doggie,doggie,NN
1042,bone,bone,NN
1043,creo,creo,NN
1044,que,que,NN
1045,podria,podria,NNS
1046,la,la,NN
1047,delÔ,delÔ,NN
1048,Ô,Ô,NN
1049,jajaja,jajaja,NN
1050,bite,bite,NN
1051,try,try,NN
1052,rice,rice,NN
1053,roll,roll,NN
1054,spider,spider,NN
1055,bug,bug,NN
1056,insect,insect,NN
1057,crawl,crawl,NN
1058,grey,grey,NN
1059,cream,cream,NN
1060,fight,fight,NN
1061,birds,birds,NNS
1062,creature,creature,NN
1063,butcher,butcher,NN
1064,sales,sales,NNS
1065,slabs,slabs,NNS
1066,block,block,NN
1067,fatty,fatty,NN
1068,blocks,blocks,NNS
1069,sections,sections,NNS
1070,Meat,Meat,NN
1071,strips,strips,NNS
1072,elephants,elephants,NNS
1073,Elephants,Elephants,NNS
1074,leader,leader,NN
1075,Elephents,Elephents,NNS
1076,job,job,NN
1077,servival,servival,NN
1078,beachside,beachside,NN
1079,horseback,horseback,NN
1080,seashore,seashore,NN
1081,shore,shore,NN
1082,gitar,gitar,NN
1083,gitur,gitur,NNS
1084,microphone,microphone,NN
1085,musician,musician,NN
1086,radio,radio,NN
1087,station,station,NN
1088,performer,performer,NN
1089,function,function,NN
1090,kettle,kettle,NN
1091,spoon,spoon,NN
1092,pot,pot,NN
1093,Rice,Rice,NN
1094,pudding,pudding,NN
1095,ton,ton,NN
1096,pudding.Ô,pudding.Ô,NN
1097,cinnamon,cinnamon,NN
1098,stove,stove,NN
1099,wrap,wrap,NN
1100,triangles,triangles,NNS
1101,round,round,NN
1102,triangle,triangle,NN
1103,coats,coats,NNS
1104,seasoning,seasoning,NN
1105,dipping,dipping,NN
1106,patty,patty,NN
1107,demonstration,demonstration,NN
1108,sweets,sweets,NNS
1109,delicacy,delicacy,NN
1110,racipe,racipe,NN
1111,lukewarm,lukewarm,NN
1112,seaweed,seaweed,NN
1113,drivers,drivers,NNS
1114,seat,seat,NN
1115,end,end,NN
1116,wheel,wheel,NN
1117,strength,strength,NN
1118,garden,garden,NN
1119,ripe,ripe,NN
1120,berries,berries,NNS
1121,vine,vine,NN
1122,spending,spending,NN
1123,tomoatoes,tomoatoes,NNS
1124,foods,foods,NNS
1125,wipes,wipes,NNS
1126,dvd,dvd,NN
1127,disc,disc,NN
1128,cd,cd,NN
1129,coating,coating,NN
1130,toothpaste,toothpaste,NN
1131,peanut,peanut,NN
1132,butter,butter,NN
1133,CD,CD,NN
